Numero;Orgao julgador;Relator;Origem;Data da publicacao;Ementa;Tipo;Classe;Decisao;Resultado
60001921620234060000;1ª Turma - PREV/SERV;GRÉGORE MOREIRA DE MOURA;TRIBUNAL;19/12/2023;;DECISAO MONOCRATICA;AI - Agravo de Instrumento;"_______________________________________________________ DESPACHO 1. Trata-se de agravo de instrumento interposto contra Decisão, proferida no MS originário, que indeferiu o pedido liminar solicitado ""para que a autoridade coatora se abstenha de cancelar/suspender a pensão militar da impetrante n° 98.0353177"". Na ação principal a Pensionista/Impetrante (ora Agravante) narrou que teve concedido administrativamente o benefício de pensão militar, matrícula n° 98 0353177, em razão do falecimento...";Parcialmente deferido
60003896820234060000;3ª Turma;EVANDRO REIMAO DOS REIS;TRIBUNAL;19/12/2023;;DECISAO MONOCRATICA;AI - Agravo de Instrumento;"Trata-se de agravo de instrumento quanto a decisão de indeferimento de tutela de evidência para obtenção de isenção de imposto de renda por ser a parte autora portadora de moléstia grave - alienação mental (transtorno afetivo bipolar). O Juízo de origem arguiu: ""Em cognição cautelar, a patologia indicada para fins de isenção do IRPJ - CID 10 F31.5 Transtorno Afetivo Bipolar, episódio atual depressivo com sintomas psicóticos - carece de verificação, em contraditório, para o enquadramento no...";Indeferido
60003264320234060000;1ª Turma - PREV/SERV;GRÉGORE MOREIRA DE MOURA;TRIBUNAL;18/12/2023;;DECISAO MONOCRATICA;AI - Agravo de Instrumento;_______________________________________________________ DECISÃO MONOCRÁTICA TERMINATIVA I - RELATÓRIO 1. Trata-se de Agravo de Instrumento proposto pela Segurada/Agravante contra Decisão, proferida na ação de rito comum original, que declinou o processamento daquele feito em favor da Justiça Estadual ao entendimento de que a Justiça Federal não detém competência para processar e julgar pedido de revisão da RMI de pensão por morte concedida em razão de acidente do trabalho. Neste Agravo de...;Indeferido
60002415720234060000;1ª Seção - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;15/12/2023;;DECISAO MONOCRATICA;AI - Agravo de Instrumento;Trata-se de Agravo de Instrumento interposto por M. D. S. R. P. contra decisão que negou o requerimento da agravante quanto à intimação do agravado para esclarecimentos sobre a Data de Início do Pagamento (DIP) do benefício implantado em cumprimento de tutela de urgência, conforme sentença de ID 1091888284 (autos originários n° 1007728-55.2020.4.01.3801). A agravante ingressou com a ação primária buscando a concessão do benefício de pensão por morte do servidor em caráter vitalício,...;Indeferido
10362716420214019999;SEGUNDA TURMA;DESEMBARGADOR FEDERAL RUI GONÇALVES;TRF - PRIMEIRA REGIÃO;08/02/2024;PREVIDENCIÁRIO E PROCESSUAL CIVIL. PRETENSÃO DE CONCESSÃO DE PENSÃO POR MORTE. DIREITO FUNDAMENTAL IMPRESCRITÍVEL. INDEFERIMENTO ADMINISTRATIVO. PRESCRIÇÃO QUINQUENAL PREVISTA NO ARTIGO 1º DO DECRETO 20.910/32. SENTENÇA REFORMADA. RECURSO PARCIALMENTE PROVIDO. 1. Ação ajuizada em 2019, objetivando a concessão de pensão por morte, decorrente do óbito do marido ocorrido em 2011, com a apresentação de indeferimento administrativo de 2013. 2. O INSS alega, em prejudicial, a ocorrência de...;Acórdão;APELAÇÃO CIVEL (AC);A Turma, por unanimidade, deu parcial provimento à apelação.;Parcialmente deferido
10194894520224019999;NONA TURMA;DESEMBARGADOR FEDERAL URBANO LEAL BERQUO NETO;TRF - PRIMEIRA REGIÃO;06/02/2024;PREVIDENCIÁRIO. PENSÃO POR MORTE. QUALIDADE DE SEGURADO COMPROVADA. INÍCIO DE PROVA MATERIAL E PROVA TESTEMUNHAL. BENEFÍCIO DEVIDO. SENTENÇA REFORMADA. 1. Cuida-se de apelação interposta contra sentença que julgou improcedentes os pedidos da autora, negando-lhe o benefício previdenciário da pensão por morte, por entender ausente a qualidade de segurado do falecido ante a falta de início de prova material do labor rural. 2. Os requisitos indispensáveis para a concessão do benefício...;Acórdão;APELAÇÃO CIVEL (AC);A Turma, por unanimidade, deu provimento à apelação.;Deferido
10893229620214013400;NONA TURMA;DESEMBARGADOR FEDERAL URBANO LEAL BERQUO NETO;TRF - PRIMEIRA REGIÃO;19/12/2023;PREVIDENCIÁRIO. PENSÃO POR MORTE. COMPANHEIRA. CONDIÇÃO DE DEPENDENTE NÃO COMPROVADA. AUSÊNCIA DE PROVAS DA UNIÃO ESTÁVEL. NÃO PREENCHIMENTO DOS REQUISITOS. BENEFÍCIO NÃO DEVIDO. SENTENÇA MANTIDA. 1. Os requisitos indispensáveis para a concessão do benefício previdenciário da pensão por morte são: a qualidade de segurado do falecido por ocasião do óbito, a ocorrência do evento morte e, por fim, a condição de dependente de quem objetiva a pensão. 2. Compulsando os autos, verifica-se que não...;Acórdão;APELAÇÃO CIVEL (AC);A Turma, por unanimidade, NEGOU PROVIMENTO à apelação.;Indeferido
10534468920214013300;NONA TURMA;DESEMBARGADOR FEDERAL URBANO LEAL BERQUO NETO;TRF - PRIMEIRA REGIÃO;19/12/2023;PROCESSUAL CIVIL. AGRAVO INTERNO EM APELAÇÃO. NEGATIVA DE SEGUIMENTO AO APELO. RAZÕES DISSOCIADAS. AFRONTA AO PRINCÍPIO DA DIALETICIDADE. AGRAVO INTERNO IMPROVIDO. 1. Pretende o agravante a reforma da decisão monocrática que deixou de conhecer recurso apelatório. 2. O apelante/agravante, em apelação, limitou-se a alegar que a complementação de aposentadoria ao dependente de ferroviário não pode ser paga por não haver percepção de pensão por morte no RGPS, ignorando o fato de que a concessão...;Acórdão;AGRAVO INTERNO NA APELAÇAO CIVEL (AGTAC);A Turma, por unanimidade, NEGOU PROVIMENTO ao agravo Interno.;Indeferido
10449966620214010000;NONA TURMA;DESEMBARGADOR FEDERAL URBANO LEAL BERQUO NETO;TRF - PRIMEIRA REGIÃO;19/12/2023;PREVIDENCIÁRIO. PENSÃO POR MORTE. QUALIDADE DE SEGURADO COMPROVADA. TRABALHADOR RURAL. INÍCIO DE PROVA MATERIAL. PROVA TESTEMUNHAL. BENEFÍCIO DEVIDO. AFASTAMENTO DA PREFIXAÇÃO DA MULTA. AUSÊNCIA DE RECALCITRÂNCIA. SENTENÇA PARCIALMENTE REFORMADA. 1. Cuida-se de apelação interposta pelo INSS contra sentença que julgou procedentes os pedidos da autora, a fim de conceder-lhe o benefício da pensão por morte. 2. Os requisitos indispensáveis para a concessão do benefício previdenciário da pensão...;Acórdão;APELAÇÃO CIVEL (AC);A Turma, por unanimidade, DEU PARCIAL PROVIMENTO à apelação do INSS.;Parcialmente deferido
10352054920214019999;NONA TURMA;DESEMBARGADOR FEDERAL URBANO LEAL BERQUO NETO;TRF - PRIMEIRA REGIÃO;19/12/2023;PREVIDENCIÁRIO. PENSÃO POR MORTE. QUALIDADE DE SEGURADO COMPROVADA. TRABALHADOR RURAL. INÍCIO DE PROVA MATERIAL. PROVA TESTEMUNHAL. BENEFÍCIO DEVIDO. SENTENÇA REFORMADA. 1. Cuida-se de apelação interposta pela autora, esposa do falecido, contra sentença que julgou improcedente o pedido de concessão da pensão por morte. 2. Os requisitos indispensáveis para a concessão do benefício previdenciário da pensão por morte são: a qualidade de segurado do falecido por ocasião do óbito, a ocorrência do...;Acórdão;APELAÇÃO CIVEL (AC);A Turma, por unanimidade, DEU PROVIMENTO à apelação.;Deferido
