Numero;Orgao julgador;Relator;Origem;Data da publicacao;Ementa;Tipo;Classe;Decisao;Resultado
10204505420204019999;1ª Turma - PREV/SERV;RUBENS ROLLO D OLIVEIRA;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. APOSENTADORIA POR IDADE RURAL. SEGURADO ESPECIAL. INÍCIO DE PROVA MATERIAL CORROBORADO POR PROVA TESTEMUNHAL. REQUISITOS LEGAIS PREENCHIDOS. MANUTENÇÃO DA SENTENÇA. RECURSO DESPROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social (INSS) contra sentença que julgou procedente o pedido formulado pelo Autor, visando à concessão de aposentadoria por idade rural. O autor, nascido em 08/02/1954, alegou ter exercido...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, NEGAR PROVIMENTO ao recurso de apelação interposto pelo INSS, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
10180985520224019999;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. PENSÃO POR MORTE. COMPROVAÇÃO DE UNIÃO ESTÁVEL. DEPENDÊNCIA ECONÔMICA PRESUMIDA. BENEFÍCIO DEVIDO. MULTA COMINATÓRIA. POSSIBILIDADE DE FIXAÇÃO CONTRA A FAZENDA PÚBLICA. REDUÇÃO DO VALOR E ADEQUAÇÃO DO PRAZO. RECURSO PARCIALMENTE PROVIDO. I. CASO EM EXAME Recurso de apelação interposto pelo INSS contra sentença que julgou procedente o pedido de concessão de pensão por morte à autora, sob fundamento de ausência de comprovação da união estável com o...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar parcial provimento à apelação do INSS e reformar, de ofício, a sentença recorrida, para determinar a observância do Manual de Cálculos da Justiça Federal atualizado, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Parcialmente deferido
60032498120244069999;1ª Turma - PREV/SERV;RUBENS ROLLO D OLIVEIRA;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. BENEFÍCIO DE PRESTAÇÃO CONTINUADA (BPC). FALECIMENTO DA PARTE AUTORA NO CURSO DO PROCESSO. TRANSMISSÃO DAS PARCELAS VENCIDAS AOS SUCESSORES. SENTENÇA ANULADA. I. CASO EM EXAME 1. Apelação cível interposta contra sentença que extinguiu o processo sem resolução do mérito, com fundamento no art. 485, IX, do CPC, em razão do falecimento da parte autora durante o curso da ação de concessão do Benefício de Prestação Continuada (BPC). Os apelantes, sucessores...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar provimento ao recurso de apelação, com o objetivo de anular a sentença proferida pelo juízo de primeira instância e determinar o retorno dos autos à origem para que se viabilize a habilitação dos sucessores da autora falecida e, por conseguinte, a completa instrução processual com a realização de perícia médica indireta,...;Deferido
00558745720174019199;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO E PROCESSUAL CIVIL. EMBARGOS DE DECLARAÇÃO COM EFEITOS MODIFICATIVOS. INTEMPESTIVIDADE. SUSPENSÃO DOS PRAZOS ENTRE 20/12 E 20/01. APELAÇÃO TEMPESTIVA. PENSÃO POR MORTE RURAL. QUALIDADE DE SEGURADO COMPROVADA. RECEBIMENTO DE BENEFÍCIO ASSISTENCIAL NÃO AFASTA DIREITO AO BENEFÍCIO PREVIDENCIÁRIO. TEMA 225/TNU. JUROS E CORREÇÃO MONETÁRIA. TEMA 810/STF, TEMA 905/STJ E EC 113/2021. RECURSO NÃO PROVIDO. I. CASO EM EXAME Embargos de declaração opostos pelo INSS contra acórdão...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, acolher os embargos de declaração com efeitos modificativos para conhecer da apelação e no mérito negar provimento ao recurso do INSS, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
10063721220234069999;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;APELAÇÕES CÍVEIS. PREVIDENCIÁRIO E PROCESSUAL CIVIL. APOSENTADORIA POR IDADE RURAL. REQUISITOS PREENCHIDOS. RECURSO DO INSS NÃO PROVIDO. AJUIZAMENTO ANTERIOR A 03.09.2014. REQUERIMENTO ADMINISTRATIVO NO CURSO DA DEMANDA. DIB NO AJUIZAMENTO DA AÇÃO (TEMA 350 DO STF). RECURSO DA PARTE AUTORA PROVIDO. JUROS E CORREÇÃO. NECESSÁRIA OBSERVÂNCIA DO MANUAL DE CÁLCULOS DA JUSTIÇA FEDERAL. REFORMA DE OFÍCIO. 1. Trata-se de ação ordinária para a obtenção de aposentadoria por idade rural. Julgada...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação do INSS, dar provimento à apelação da parte autora, e determinar, de ofício, a reforma do julgado para que seja observado o Manual de Cálculos da Justiça Federal, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
00005310820194019199;1ª Turma - PREV/SERV;RUBENS ROLLO D OLIVEIRA;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. BENEFÍCIO ASSISTENCIAL. MORTE DO TITULAR ANTES DA PERÍCIA MÉDICA. LEGITIMIDADE DOS HERDEIROS PARA POSTULAR PARCELAS VENCIDAS. POSSIBILIDADE DE PERÍCIA INDIRETA. SENTENÇA ANULADA. RETORNO DOS AUTOS À ORIGEM. I. CASO EM EXAME 1. Apelação cível interposta em face de sentença que julgou improcedente o pedido de concessão de benefício assistencial, extinguindo o processo com resolução de mérito em razão do falecimento do autor antes da realização da perícia...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar provimento ao recurso de apelação, com o objetivo de anular a sentença proferida pelo juízo de primeira instância e determinar o retorno dos autos à origem para que se viabilize a habilitação dos sucessores do autor falecido e, por conseguinte, a completa instrução processual, nos termos do voto do relator, nos termos do...;Deferido
10225030820204019999;1ª Turma - PREV/SERV;RUBENS ROLLO D OLIVEIRA;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. APOSENTADORIA POR IDADE RURAL. SEGURADO ESPECIAL. RECEBIMENTO DE PENSÃO POR MORTE SUPERIOR AO SALÁRIO MÍNIMO. INCOMPATIBILIDADE COM O REGIME DE ECONOMIA FAMILIAR. IMPROCEDÊNCIA MANTIDA. I. CASO EM EXAME 1. Apelação interposta por autor cujo pedido de aposentadoria por idade rural foi julgado improcedente, sob o fundamento de ausência de comprovação da condição de segurado especial. O juízo de origem considerou que a existência de vínculos urbanos e a...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação, mantendo integralmente a sentença que julgou improcedente o pedido de aposentadoria rural por idade, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
10087432620194019999;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. PENSÃO POR MORTE. CONTRIBUINTE INDIVIDUAL. QUALIDADE DE SEGURADO. ANOTAÇÃO EM CTPS. PRESTAÇÃO DE SERVIÇOS SEM VÍNCULO FORMAL. AUSÊNCIA DE RECOLHIMENTO DE CONTRIBUIÇÕES. IMPOSSIBILIDADE DE REGULARIZAÇÃO POST MORTEM. RECURSO DESPROVIDO. I. CASO EM EXAME Apelação interposta pela parte autora contra sentença que julgou improcedente o pedido de concessão de pensão por morte, ao fundamento de ausência de comprovação da qualidade de segurado do instituidor no...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação da parte autora, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
10017277520224069999;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. PENSÃO POR MORTE. UNIÃO ESTÁVEL NÃO COMPROVADA. AUSÊNCIA DE PROVA MATERIAL. PROVA TESTEMUNHAL INSUFICIENTE. SENTENÇA MANTIDA. RECURSO NÃO PROVIDO. I. CASO EM EXAME Apelação cível interposta pela parte autora contra sentença que julgou improcedente o pedido de pensão por morte, sob fundamento de ausência de comprovação da união estável com o segurado falecido. A autora sustenta que os documentos apresentados constituem início de prova material...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação da parte autora, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
10110983320194010000;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO E PROCESSUAL CIVIL. AGRAVO DE INSTRUMENTO. PENSÃO POR MORTE. CUMPRIMENTO DE DILIGÊNCIA. INTERESSE DE AGIR. NECESSIDADE DE PRÉVIO REQUERIMENTO ADMINISTRATIVO. TEMA 350/STF. INEXISTÊNCIA DE TRÂNSITO EM JULGADO. PENDÊNCIA DE JUÍZO DE ADMISSIBILIDADE DOS RECURSOS EXCEPCIONAIS. DECISÃO ANULADA. RECURSO PROVIDO. I. CASO EM EXAME 1. Agravo de instrumento interposto pelo INSS contra decisão do Juízo a quo, que, ao reconhecer o interesse de agir da parte autora diante da...;Acórdão;AI - Agravo de Instrumento;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar parcial provimento ao agravo de instrumento interposto pelo INSS, para anular a decisão agravada e determinar a remessa dos autos de origem à Presidência deste e. TRF da 6ª Região, para realização das providências a seu cargo, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam...;Parcialmente deferido
